,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
disorder_consensus_end,0.044726014137268066,0.014980172738432884,0.06745103001594543,0.07902389764785767,0.0,0.054682619869709015,0.0,0.048528388142585754,0.04114963859319687,0.02581173926591873,0.0,0.020591087639331818,0.03360889479517937,0.0686202272772789,0.06111087277531624,0.028859160840511322,0.054159123450517654,0.0,0.03425462171435356,0.04434290900826454
frac_A,1.936647653579712,3.509216070175171,3.5223915576934814,3.540581226348877,2.591799736022949,3.4353766441345215,2.255902051925659,2.3245456218719482,3.1723036766052246,3.776681900024414,3.1445515155792236,3.960747241973877,3.572915554046631,3.0597922801971436,4.054526329040527,5.445060729980469,2.6680283546447754,4.398250102996826,2.8741867542266846,4.160831928253174
frac_C,0.46838104724884033,0.9706629514694214,1.2071913480758667,0.8839402794837952,0.5093926787376404,0.9096195101737976,0.43330028653144836,1.1038349866867065,0.770911693572998,0.8826627731323242,0.428326278924942,0.8717684745788574,0.7339938282966614,0.7941462993621826,1.276503562927246,1.3635892868041992,0.4783835709095001,1.2669460773468018,0.5081682801246643,0.7071285843849182
frac_G,4.903254508972168,5.132458209991455,4.857693195343018,3.9042046070098877,4.883493900299072,3.8757174015045166,5.0500874519348145,6.126494407653809,4.86860990524292,5.30955696105957,4.161945343017578,4.9332451820373535,4.53934907913208,5.965512275695801,5.166979789733887,3.751192569732666,4.102887153625488,4.1735076904296875,5.134127140045166,4.701929092407227
frac_T,0.37310025095939636,0.2631957530975342,0.44932740926742554,0.29435276985168457,0.24964876472949982,0.23971733450889587,0.12092920392751694,0.30430594086647034,0.33245131373405457,0.2275886982679367,0.3647545874118805,0.22020943462848663,0.9867198467254639,0.2500796616077423,0.5143961906433105,0.35281673073768616,0.3063538670539856,0.37582114338874817,0.25433218479156494,0.1839568316936493
local_mfe_0,0.3805219233036041,0.14482751488685608,0.49160757660865784,0.3559412658214569,0.24925437569618225,0.3645264208316803,0.20508241653442383,0.19492658972740173,0.13557399809360504,0.16626879572868347,0.2890765070915222,0.17335361242294312,0.09252579510211945,0.7756755352020264,0.18132133781909943,0.2577149271965027,0.2847454845905304,0.10524898022413254,0.06823942065238953,0.26160624623298645
local_dmfe_0,0.2914845645427704,0.13326293230056763,0.7422013878822327,0.42537975311279297,0.1001581996679306,0.510844886302948,0.3133079707622528,0.263988733291626,0.1891348958015442,0.1794903576374054,0.18857432901859283,0.10467547923326492,0.07755952328443527,0.8872367143630981,0.23183304071426392,0.3102468252182007,0.25518283247947693,0.1339312344789505,0.14861254394054413,0.3907701075077057
local_mfe_30,0.165531188249588,0.23878242075443268,0.14420413970947266,0.09366780519485474,0.06717552989721298,0.3063334822654724,0.1160498782992363,0.08760998398065567,0.06839075684547424,0.11256133019924164,0.13472774624824524,0.08978460729122162,0.1010761708021164,0.18355914950370789,0.11458896100521088,0.09789730608463287,0.06309955567121506,0.15752719342708588,0.03402911499142647,0.08554922044277191
local_dmfe_30,0.3177756071090698,0.1694805771112442,0.3352256715297699,0.1064903736114502,0.22567756474018097,0.4063449800014496,0.27696722745895386,0.5640552639961243,0.13350096344947815,1.4001998901367188,0.2531701922416687,0.18079502880573273,0.09205543994903564,0.6620745658874512,0.31846579909324646,0.40119078755378723,0.15998539328575134,0.28702712059020996,0.054218590259552,0.22104616463184357
local_mfe_40,0.4386247992515564,0.17449244856834412,0.22197063267230988,0.2563731372356415,0.18889613449573517,0.20395660400390625,0.2929118573665619,0.3148999810218811,0.2953765094280243,0.08000893890857697,0.2614726126194,0.16490544378757477,0.10982456058263779,0.9632822275161743,0.12174812704324722,0.2733593285083771,0.12626391649246216,0.32725006341934204,0.22655408084392548,0.5079312920570374
local_dmfe_40,0.4583207964897156,0.1932203471660614,0.3169723153114319,0.12422788143157959,0.32470425963401794,0.33171015977859497,0.12261562794446945,0.20296113193035126,0.5333026051521301,0.15988264977931976,0.0806412324309349,0.39302778244018555,0.19304925203323364,0.5273327827453613,0.16737084090709686,0.37671661376953125,0.080854132771492,0.181619331240654,0.048949312418699265,0.27385133504867554
local_mfe_50,0.2226589322090149,0.20842035114765167,0.19645124673843384,0.2984471321105957,0.11968228220939636,0.29874467849731445,0.22843582928180695,0.14831796288490295,0.15493257343769073,0.08782985061407089,0.1863371878862381,0.1717691421508789,0.06628365069627762,0.24911418557167053,0.13818761706352234,0.163569837808609,0.12750275433063507,0.5371060967445374,0.0900767520070076,0.16192646324634552
local_dmfe_50,0.4382762312889099,0.19984665513038635,0.23428761959075928,0.2688833475112915,0.332390695810318,0.3996642529964447,0.2810840904712677,0.5232796669006348,0.18148821592330933,0.3521459996700287,0.10562098026275635,0.20503930747509003,0.1312023252248764,1.233995795249939,0.2847384512424469,0.5308112502098083,0.1733883172273636,0.16277898848056793,0.10388874262571335,0.4701249599456787
local_mfe_60,0.315281480550766,0.34643638134002686,0.32976672053337097,0.2477084845304489,0.14876104891300201,0.6840497851371765,0.17140281200408936,0.41368165612220764,0.20515035092830658,0.34741470217704773,0.10340659320354462,0.18045412003993988,0.08618534356355667,0.2512385845184326,0.24423597753047943,0.12484738230705261,0.14316637814044952,0.7746695876121521,0.09720709174871445,0.17629337310791016
local_dmfe_60,0.33859944343566895,0.2933194935321808,0.5729696154594421,0.6386954188346863,0.6687366366386414,1.0083891153335571,0.3061927855014801,0.4755958020687103,0.3520718514919281,0.12482117116451263,0.4159904718399048,0.7743631601333618,0.19143955409526825,0.5581837892532349,0.3745279312133789,0.36582863330841064,0.23395749926567078,0.6227428913116455,0.20215480029582977,0.798257052898407
local_mfe_70,0.5913625955581665,0.4693560004234314,0.3878993093967438,0.27866238355636597,0.08665771782398224,0.2833723723888397,0.25905266404151917,0.5774481296539307,0.3580480217933655,0.6167395114898682,0.35349413752555847,0.26870545744895935,0.11200008541345596,0.542927086353302,0.4891164302825928,0.10198017209768295,0.2606669068336487,0.4061834216117859,0.05261042341589928,0.4260525703430176
local_dmfe_70,0.23259180784225464,0.18015168607234955,0.3650329113006592,0.3435453176498413,0.1205328106880188,0.3983398973941803,0.12801793217658997,0.08153751492500305,0.09195516258478165,0.29680654406547546,0.1739806979894638,0.17448826134204865,0.05912788584828377,0.16179747879505157,0.12711594998836517,0.1418565958738327,0.07326505333185196,0.11825045943260193,0.05646023899316788,0.27418968081474304
local_mfe_80,0.20630955696105957,0.16285733878612518,0.3673701584339142,0.40004658699035645,0.22973740100860596,0.33930492401123047,0.1225828155875206,0.21637219190597534,0.1110299676656723,0.08588144928216934,0.11159815639257431,0.11471997201442719,0.11854001134634018,0.2421155571937561,0.18968258798122406,0.10502491146326065,0.14935535192489624,0.2090698480606079,0.05516707897186279,0.11068830639123917
